Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"Population, total",SP.POP.TOTL,59909.0,60563.0,61276.0,62228.0,62901.0,61728.0,59931.0,59159.0,59331.0,60443.0,62753,65896,69005,73685,77595,79805,83021,86301,88451,89659,90588,91439,92074,93128,95138,97635,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107624
Afghanistan,AFG,"Population, total",SP.POP.TOTL,13169311.0,11937581.0,10991378.0,10917982.0,11190221.0,11426852.0,11420074.0,11387818.0,11523298.0,11874088.0,12045660,12238879,13278974,14943172,16250794,17065836,17763266,18452091,19159996,19887785,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Angola,AGO,"Population, total",SP.POP.TOTL,8133872.0,8435607.0,8751648.0,9082983.0,9425917.0,9779120.0,10139450.0,10497858.0,10861291.0,11238562.0,11626360,12023529,12423712,12827135,13249764,13699778,14170973,14660413,15159370,15667235,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Albania,ALB,"Population, total",SP.POP.TOTL,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Andorra,AND,"Population, total",SP.POP.TOTL,35782.0,37169.0,38764.0,40565.0,42273.0,43825.0,45734.0,47653.0,49416.0,50620.0,52597,56667,60200,63272,64612,63912,63984,64700,65382,65710,65685,65852,66506,69486,74325,77421,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,1015700.0,1099855.0,1166370.0,1235305.0,1305996.0,1377911.0,1467383.0,1574244.0,1681788.0,1789851.0,1898220,2006626,2114730,2222093,2328188,2434662,2597564,2817410,3040421,3266009,3493575,3723590,3956826,4192457,4428967,4664790,5009100,5624635,6302664,6707058,6869838,7104538,7391448,7693031,8059440,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,10876981
Argentina,ARG,"Population, total",SP.POP.TOTL,28011596.0,28463959.0,28924262.0,29391332.0,29863093.0,30336441.0,30811980.0,31291762.0,31780532.0,32270948.0,32755901,33230294,33693527,34152717,34613491,35070020,35513793,35947791,36372860,36794682,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
Armenia,ARM,"Population, total",SP.POP.TOTL,3107415.0,3135349.0,3163144.0,3191539.0,3224547.0,3260432.0,3294847.0,3328520.0,3355125.0,3443100.0,3552128,3613977,3571861,3453332,3364610,3307581,3278735,3246289,3208401,3167286,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
American Samoa,ASM,"Population, total",SP.POP.TOTL,32403.0,33584.0,34909.0,36271.0,37667.0,39103.0,40571.0,42072.0,43615.0,45191.0,46640,47882,49038,50159,51251,52316,53353,54362,55334,56248,56855,57053,57062,56971,56818,56617,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,64513.0,64665.0,64785.0,64934.0,64882.0,64591.0,64276.0,63946.0,63623.0,63325.0,63066,63387,64404,65587,66843,68189,69612,71053,72412,73666,74912,76069,77032,77884,78719,79611,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772
Australia,AUS,"Population, total",SP.POP.TOTL,14692000.0,14923260.0,15184247.0,15393472.0,15579391.0,15788312.0,16018350.0,16263874.0,16532164.0,16814416.0,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27204809
Austria,AUT,"Population, total",SP.POP.TOTL,7549433.0,7568710.0,7574140.0,7561910.0,7561434.0,7564985.0,7569794.0,7574586.0,7585317.0,7619567.0,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9178482
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,6160500.0,6257750.0,6357550.0,6459800.0,6567850.0,6670150.0,6770300.0,6875350.0,6974600.0,7076550.0,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202850
Burundi,BDI,"Population, total",SP.POP.TOTL,4383706.0,4566014.0,4681390.0,4808528.0,4926465.0,5034042.0,5129414.0,5247787.0,5365327.0,5471706.0,5587052,5703857,5858407,5676843,5713854,6066316,6070506,6070042,6187108,6337155,6470194,6634365,6824132,7043154,7310656,7587299,7865547,8161874,8505637,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
Belgium,BEL,"Population, total",SP.POP.TOTL,9859242.0,9858982.0,9856303.0,9855520.0,9855372.0,9858308.0,9861823.0,9870234.0,9901664.0,9937697.0,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,11876844
Benin,BEN,"Population, total",SP.POP.TOTL,3925251.0,4038307.0,4156596.0,4278978.0,4405895.0,4538012.0,4675420.0,4818486.0,4967341.0,5121657.0,5281479,5446932,5617844,5872706,6096506,6226773,6391858,6583365,6789489,7002818,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,9228466,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,6947900.0,7140271.0,7340197.0,7551129.0,7772256.0,7999935.0,8228847.0,8457109.0,8687435.0,8921175.0,9159356,9394632,9629275,9871713,10123798,10386722,10655942,10934223,11240664,11574928,11925546,12295001,12680897,13082532,13500533,13932123,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
Bangladesh,BGD,"Population, total",SP.POP.TOTL,88016432.0,90303105.0,92814507.0,95335155.0,97814966.0,100253825.0,102635572.0,104959291.0,107216008.0,109433799.0,111633717,113787109,115952192,118132360,120343179,122600370,124862179,127198069,129622332,132108065,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8861535.0,8891117.0,8917457.0,8939738.0,8960679.0,8960547.0,8958171.0,8971359.0,8981446.0,8876972.0,8718289,8632367,8540164,8472313,8443591,8406067,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6444366
Bahrain,BHR,"Population, total",SP.POP.TOTL,358978.0,373524.0,386983.0,400707.0,415154.0,430358.0,446286.0,462854.0,479929.0,497327.0,514797,503052,516458,530225,544366,558879,573792,589115,604842,620989,637582,661316,710553,764517,823741,888822,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,232526.0,236614.0,240614.0,244698.0,248863.0,253154.0,257536.0,261935.0,266448.0,271178.0,275945,280731,285927,291339,296509,301461,306268,310904,315368,319614,323835,327836,331614,335618,339782,343894,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4148426.0,4184217.0,4221100.0,4258728.0,4295536.0,4330364.0,4362115.0,4390246.0,4414404.0,4433983.0,4448652,4458343,4234616,3904482,3725412,3715564,3875246,4018227,4089356,4130305,4159771,4179438,4188002,4178523,4140987,4096493,4063272,4013424,3947544,3879794,3811472,3741798,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Belarus,BLR,"Population, total",SP.POP.TOTL,9643000.0,9710000.0,9776000.0,9843000.0,9910000.0,9975000.0,10043000.0,10111000.0,10140000.0,10170000.0,10189348,10194050,10216470,10239050,10226955,10193831,10159569,10117433,10071963,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9133712
Belize,BLZ,"Population, total",SP.POP.TOTL,145062.0,148786.0,152548.0,156297.0,160044.0,163796.0,167554.0,171338.0,175180.0,179107.0,183076,187040,190983,194902,199097,204146,210310,217446,225173,233059,240799,248379,256009,263780,271688,279731,287878,296100,304361,312614,320245,327298,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072
Bermuda,BMU,"Population, total",SP.POP.TOTL,53673.0,53997.0,54387.0,54777.0,55169.0,55547.0,55889.0,56265.0,56699.0,57129.0,57559,57984,58407,58816,59194,59526,59813,60177,60639,61124,61550,61867,62142,62386,62555,62711,62834,63010,63300,63565,63725,63733,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698,64636
Bolivia,BOL,"Population, total",SP.POP.TOTL,5758900.0,5888109.0,6018088.0,6149060.0,6281868.0,6416185.0,6552479.0,6692162.0,6835508.0,6981766.0,7130142,7280289,7430336,7579195,7727322,7874676,8021736,8167900,8313394,8459806,8606326,8752736,8900355,9050700,9204287,9360754,9521689,9685960,9850858,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Brazil,BRA,"Population, total",SP.POP.TOTL,121207461.0,124063109.0,126923155.0,129790077.0,132658864.0,135515595.0,138336370.0,141104944.0,143826357.0,146502972.0,149143223,151724256,154275079,156794577,159265006,161735073,164202549,166661659,169159655,171641543,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
Barbados,BRB,"Population, total",SP.POP.TOTL,251524.0,252270.0,253095.0,253992.0,254920.0,255820.0,256618.0,257279.0,257763.0,258109.0,258582,259373,260267,261027,261620,262039,262284,262392,262436,262517,262063,262425,264148,265776,267298,268706,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,186111.0,191977.0,198165.0,204741.0,211661.0,218919.0,226495.0,233860.0,240913.0,248064.0,255292,262596,269839,276971,284091,291195,298276,305341,312385,319411,326424,333345,340099,346637,352911,358916,364663,370873,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721
Bhutan,BTN,"Population, total",SP.POP.TOTL,433404.0,447836.0,462485.0,477460.0,492784.0,508392.0,524324.0,540557.0,556986.0,573586.0,589287,599784,577774,554673,554497,547989,548784,558697,569435,582579,596863,610794,624409,637663,650544,661865,670799,678641,686351,693988,701632,709377,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524
Botswana,BWA,"Population, total",SP.POP.TOTL,937485.0,969996.0,1009269.0,1046137.0,1083660.0,1121945.0,1160650.0,1199167.0,1235476.0,1270274.0,1305696,1341756,1380033,1420115,1460023,1498836,1535914,1571691,1606899,1641997,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2450535.0,2478402.0,2507375.0,2537399.0,2568610.0,2600932.0,2634258.0,2669155.0,2713965.0,2783970.0,2871910,2963191,3058831,3157839,3257954,3348052,3435965,3531700,3628827,3729450,3833416,3919487,4006077,4103086,4192826,4288810,4377579,4462770,4558984,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
Canada,CAN,"Population, total",SP.POP.TOTL,24515667.0,24819915.0,25116942.0,25366451.0,25607053.0,25842116.0,26100278.0,26446601.0,26791747.0,27276781.0,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020855,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Switzerland,CHE,"Population, total",SP.POP.TOTL,6319408.0,6354074.0,6391309.0,6418773.0,6441865.0,6470365.0,6504124.0,6545106.0,6593386.0,6646912.0,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093,9034102
Channel Islands,CHI,"Population, total",SP.POP.TOTL,130462.0,131078.0,132172.0,133413.0,134727.0,136075.0,137413.0,138743.0,140089.0,141501.0,143087,144269,144733,144984,145163,145247,145565,146214,146906,147554,148110,148850,149881,150960,152039,153126,154214,155309,156408,157511,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691,168126
Chile,CHL,"Population, total",SP.POP.TOTL,11508550.0,11678717.0,11850214.0,12026138.0,12207733.0,12395274.0,12588914.0,12790150.0,12999424.0,13215005.0,13437176,13662491,13884577,14102276,14316256,14527381,14734046,14932434,15127799,15319313,15503635,15683849,15857925,16024752,16187322,16348778,16509195,16671581,16838988,17009731,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771
China,CHN,"Population, total",SP.POP.TOTL,981235000.0,993885000.0,1008630000.0,1023310000.0,1036825000.0,1051040000.0,1066790000.0,1084035000.0,1101630000.0,1118650000.0,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,8220714.0,8556596.0,8907936.0,9272744.0,9650516.0,10040483.0,10440917.0,10851475.0,11275189.0,11719771.0,12189778,12683870,13200310,13735951,14287201,14855565,15442312,16047170,16663948,17215935,17699004,18178913,18654771,19125542,19595000,20068458,20546802,21030558,21514439,21997940,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230
Cameroon,CMR,"Population, total",SP.POP.TOTL,8512219.0,8816377.0,9028678.0,9215397.0,9475078.0,9761730.0,10060342.0,10370749.0,10684968.0,11002745.0,11331821,11667180,12006353,12353131,12704903,13058516,13414757,13775214,14144860,14525140,14912631,15309490,15725528,16160340,16610487,17074594,17550407,18049896,18574056,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,26711099.0,27500515.0,28338190.0,29250963.0,30245081.0,31264816.0,32265196.0,33298904.0,34382752.0,35486866.0,36684063,37925817,39228910,40656336,42626876,44433704,45296124,46029902,47297600,48912971,50507442,52132646,53750524,55343867,56997741,58775724,60615908,62477752,64390664,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,1828985.0,1869759.0,1910430.0,1950321.0,1999528.0,2059311.0,2120602.0,2183473.0,2247653.0,2313558.0,2380560,2449229,2519465,2595124,2673144,2749461,2826785,2887862,2952061,3032874,3151345,3272537,3350771,3445753,3565554,3696393,3837409,3980430,4113517,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961
Colombia,COL,"Population, total",SP.POP.TOTL,26104498.0,26713267.0,27338331.0,27988173.0,28642690.0,29268470.0,29879112.0,30499467.0,31130524.0,31776279.0,32440069,33098372,33760571,34441473,35127410,35804662,36462745,37121149,37792165,38454863,39089934,39709262,40324680,40937429,41543171,42128977,42691084,43235374,43758808,44271541,44777319,45259614,45715810,46151584,46565429,46969940,47437512,48131078,49024465,49907985,50629997,51188173,51737944,52321152,52886363
Comoros,COM,"Population, total",SP.POP.TOTL,337721.0,347382.0,357139.0,367233.0,377637.0,388352.0,399318.0,410439.0,421687.0,433103.0,444596,455556,465113,473682,482142,490586,499107,507777,516597,525886,536080,547220,558923,569798,580704,592677,604753,616927,629307,641947,654836,668056,681630,696192,711503,726682,741741,756669,771590,786578,802163,818174,834188,850387,866628
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,323301.0,327846.0,332724.0,337654.0,342505.0,347365.0,352312.0,357302.0,362329.0,367803.0,375428,384586,393415,401965,410228,418104,425581,432798,439784,446519,453317,460293,467046,473383,479370,485115,490728,496190,501355,506141,509784,511447,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877
Costa Rica,CRI,"Population, total",SP.POP.TOTL,2390633.0,2456637.0,2524806.0,2595153.0,2667595.0,2741894.0,2817216.0,2892699.0,2968103.0,3043827.0,3121706,3202176,3284258,3367434,3451122,3535176,3619013,3701711,3782838,3862101,3937739,4008947,4075705,4138784,4200078,4261240,4321340,4380248,4440056,4499791,4555962,4609833,4663934,4716147,4767119,4818038,4866998,4913177,4957818,4999553,5034320,5059988,5081765,5105525,5129910
Cuba,CUB,"Population, total",SP.POP.TOTL,9804796.0,9849320.0,9912681.0,9991026.0,10073299.0,10157228.0,10244247.0,10335342.0,10432585.0,10533243.0,10631799,10717640,10785801,10841031,10886021,10925362,10962010,10997934,11034712,11072230,11109109,11144132,11177418,11209383,11238756,11262554,11278550,11287272,11291762,11294719,11297409,11301571,11303175,11298167,11285775,11275065,11265612,11247829,11227118,11202846,11176354,11122168,11059820,11019931,10979783
Curacao,CUW,"Population, total",SP.POP.TOTL,148041.0,148629.0,150101.0,151159.0,151940.0,152711.0,152662.0,151456.0,149254.0,146937.0,145400,144403,143912,144299,144630,145139,146306,146956,144472,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369,149996,155800,155900
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,17079.0,17905.0,18750.0,19598.0,20454.0,21324.0,22197.0,23073.0,23951.0,24874.0,25999,27294,28621,29976,31352,32743,34143,35543,36922,38284,39674,41089,42514,43934,45352,46788,48232,49687,51151,52618,54099,55606,57136,58655,60160,61642,63100,64535,65941,67327,68684,70108,71591,73038,74457
Cyprus,CYP,"Population, total",SP.POP.TOTL,683076.0,688893.0,696497.0,707225.0,719334.0,731277.0,743105.0,754785.0,766235.0,777420.0,788351,798944,810341,826034,844667,862695,880290,897568,914548,931234,947667,964127,981440,999590,1017875,1036151,1054418,1072714,1091026,1109371,1127816,1146493,1165397,1183895,1201801,1219502,1237112,1254275,1270737,1286671,1302247,1317309,1331370,1344976,1358282
Czechia,CZE,"Population, total",SP.POP.TOTL,10304193.0,10300591.0,10314826.0,10323856.0,10330213.0,10337118.0,10342227.0,10347318.0,10355276.0,10361068.0,10333355,10308578,10319123,10329855,10333587,10327253,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772,10672118,10864042,10882164
Germany,DEU,"Population, total",SP.POP.TOTL,78288576.0,78407907.0,78333366.0,78128282.0,77858685.0,77684873.0,77720436.0,77839920.0,78144619.0,78751283.0,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83196078,83797985,83901923,83510950
Djibouti,DJI,"Population, total",SP.POP.TOTL,325815.0,343047.0,356880.0,369553.0,384053.0,402687.0,426341.0,454399.0,484523.0,523355.0,579538,631092,626010,614245,626710,633074,648348,671817,699352,724218,747318,771313,795574,813519,826124,839167,855764,874528,892734,911527,930251,948558,966747,984824,1002717,1020313,1037653,1054841,1071882,1088709,1105188,1121248,1137096,1152944,1168722
Dominica,DMA,"Population, total",SP.POP.TOTL,73083.0,72986.0,72688.0,72365.0,72056.0,71744.0,71406.0,71023.0,70608.0,70153.0,69627,69296,69325,69433,69477,69469,69410,69299,69124,68870,68511,68288,68367,68531,68649,68734,68806,68847,68854,68864,68859,69053,69118,69715,70373,70410,69606,68496,68174,67880,67573,67202,66826,66510,66205
